method,terms,threshold,recall,specificity,precision,fpr,precision_n
hypergeometric,1,0,0.07,0.999990355891139,0.4281135531135531,0.000009644108860819044,7
hypergeometric,1,8.625350650926818e-282,0.08,0.9999880036694657,0.4137544802867383,0.000011996330534189542,8
hypergeometric,1,3.2714644626382295e-183,0.11,0.9999750664502625,0.4000580914183855,0.000024933549737727284,11
hypergeometric,1,7.935479072872568e-139,0.15,0.9999618940088913,0.3058316303579461,0.00003810599110860207,15
hypergeometric,1,6.820453860600546e-114,0.15,0.9999487215675206,0.18242363484468746,0.000051278432479476865,15
hypergeometric,1,4.10963702708464e-94,0.18,0.9999355491261497,0.21371662770201044,0.00006445087385035167,18
hypergeometric,1,2.252697152394536e-84,0.2,0.9999223766847788,0.18595176202390284,0.00007762331522122645,20
hypergeometric,1,1.0528307962598108e-72,0.22,0.9999092042434079,0.2418197326831727,0.00009079575659210125,22
hypergeometric,1,1.2897829369745702e-65,0.25,0.9998962670242044,0.3246273929827852,0.00010373297579563901,25
hypergeometric,1,3.6961307568925047e-60,0.26,0.9998828593606661,0.28131345275746567,0.00011714063933385084,26
hypergeometric,1,4.541065639483272e-56,0.28,0.9998696869192952,0.29888078471272467,0.00013031308070472563,28
hypergeometric,1,4.3337781595389026e-51,0.29,0.999856279255757,0.27087527228550135,0.00014372074424293747,29
hypergeometric,1,1.1633602472753712e-46,0.29,0.9998421659257165,0.2047447907150665,0.0001578340742831605,29
hypergeometric,1,8.9312306438321e-44,0.31,0.9998292287065134,0.21885343454864944,0.0001707712934866982,31
hypergeometric,1,1.3192965782255634e-40,0.32,0.9998158210429752,0.22272569304134682,0.0001841789570249101,32
hypergeometric,1,9.060908104149761e-39,0.34,0.9998026486016043,0.2259018364761652,0.00019735139839578488,34
hypergeometric,1,2.5184171437781e-36,0.36,0.9997892409380659,0.22920464368730636,0.00021075906193399676,36
hypergeometric,1,2.67768826111825e-34,0.38,0.999776068496695,0.24134073596320496,0.00022393150330487152,38
hypergeometric,1,1.8690797803916685e-32,0.39,0.9997626608331572,0.24408936349921595,0.00023733916684308336,39
hypergeometric,1,3.7190701200878195e-31,0.39,0.9997490179474514,0.2116436025921425,0.00025098205254863224,39
hypergeometric,1,2.638958873065585e-29,0.41,0.9997358455060805,0.24793693235970005,0.00026415449391950697,41
hypergeometric,1,3.6300621165180655e-28,0.42,0.9997224378425423,0.2509422628110857,0.0002775621574577188,42
hypergeometric,1,3.870164079369041e-27,0.43,0.9997090301790041,0.2513426172690051,0.00029096982099593077,43
hypergeometric,1,3.478531498252267e-26,0.44,0.9996953872932985,0.26482566353027664,0.0003046127067014796,44
hypergeometric,1,4.1160202878246695e-25,0.44,0.9996812739632585,0.2511498297991828,0.00031872603674170253,44
hypergeometric,1,2.6334615097429156e-24,0.45,0.9996683367440548,0.2488084761149461,0.0003316632559452403,45
hypergeometric,1,1.4514129995014865e-23,0.47,0.999655164302684,0.2731581095828219,0.00034483569731611505,47
hypergeometric,1,1.22785294762641e-22,0.51,0.9996424623056476,0.3132432326746907,0.00035753769435231594,51
hypergeometric,1,7.33485525017515e-22,0.51,0.9996285841977745,0.284818180404351,0.00037141580222520184,51
hypergeometric,1,4.336746995571985e-21,0.52,0.9996151765342364,0.26802277635993005,0.00038482346576341363,52
hypergeometric,1,1.385238578263707e-20,0.53,0.9996017688706981,0.27661872716971214,0.00039823112930162553,53
hypergeometric,1,4.721669205430938e-20,0.56,0.9995888316514945,0.2958116820779714,0.0004111683485051632,56
hypergeometric,1,1.748734046898525e-19,0.56,0.9995751887657892,0.2689869854301349,0.00042481123421071217,56
hypergeometric,1,4.696493084488259e-19,0.56,0.9995610754357491,0.2645778155797881,0.00043892456425093497,56
hypergeometric,1,1.1029270991859855e-18,0.57,0.9995479029943783,0.26300128035168796,0.0004520970056218099,57
hypergeometric,1,2.993297857758879e-18,0.57,0.9995342601086726,0.2381760910395107,0.0004657398913273587,57
hypergeometric,1,6.867493062337211e-18,0.58,0.9995201467786327,0.24457017974045556,0.0004798532213675818,58
hypergeometric,1,2.003883033386333e-17,0.58,0.9995072095594287,0.23482858377810553,0.0004927904405711195,58
hypergeometric,1,4.7376435734648036e-17,0.58,0.9994935666737231,0.21493329267565098,0.0005064333262766684,58
hypergeometric,1,1.0261113436668194e-16,0.59,0.9994792181215157,0.2189156494359954,0.0005207818784842284,59
hypergeometric,1,2.2391432160209637e-16,0.6,0.9994665161244796,0.22955519988269737,0.0005334838755204291,60
hypergeometric,1,6.236330710505017e-16,0.6,0.9994528732387739,0.2175103864143118,0.000547126761225978,60
hypergeometric,1,1.3706387281913456e-15,0.6,0.9994389951309011,0.2060582980048172,0.000561004869098864,60
hypergeometric,1,3.2532829322719905e-15,0.6,0.9994255874673631,0.2023501746926638,0.0005744125326370756,60
hypergeometric,1,6.220863128663326e-15,0.61,0.999412179803825,0.18932870799780904,0.0005878201961752876,61
hypergeometric,1,1.4555720305357003e-14,0.63,0.9993987721402867,0.19462754369456914,0.0006012278597134997,63
hypergeometric,1,3.28332926419956e-14,0.63,0.999385129254581,0.1917201371852853,0.0006148707454190484,63
hypergeometric,1,5.961871796315947e-14,0.63,0.9993714863688757,0.18972899808587143,0.0006285136311245972,63
hypergeometric,1,1.1928597913438627e-13,0.63,0.9993578434831697,0.18252068243150685,0.0006421565168301461,63
hypergeometric,1,2.0264386537201238e-13,0.63,0.9993442005974643,0.16763303828404252,0.000655799402535695,63
hypergeometric,1,2.9618887716849046e-13,0.63,0.9993303224895915,0.1645658585288087,0.000669677510408581,63
hypergeometric,1,5.279586746634405e-13,0.63,0.9993166796038863,0.14896512049502603,0.0006833203961141296,63
hypergeometric,1,8.062358525583992e-13,0.64,0.9993032719403477,0.16079243444306984,0.0006967280596523413,64
hypergeometric,1,1.4612837416574998e-12,0.64,0.9992896290546421,0.15506830608462258,0.0007103709453578904,64
hypergeometric,1,2.3167908365685792e-12,0.65,0.9992762213911038,0.16453097953360804,0.0007237786088961022,65
hypergeometric,1,3.881095875844105e-12,0.66,0.9992628137275655,0.16716966004572256,0.0007371862724343144,66
hypergeometric,1,6.1343263572843444e-12,0.66,0.9992489356196924,0.1613682244046175,0.0007510643803072001,66
hypergeometric,1,1.0475644550909175e-11,0.66,0.9992350575118196,0.15315459043265095,0.0007649424881800859,66
hypergeometric,1,1.4224795280777849e-11,0.68,0.9992221202926163,0.16866519880260658,0.000777879707383624,68
hypergeometric,1,1.983435421205266e-11,0.68,0.999208477406911,0.16723797235818766,0.0007915225930891728,68
